City	Zone 	Ward No:	Lat details	Long details	Thikan (Land mark) :	Address (Specify the detail address) :	Situated at	Type 	Gender (Male/ Female/ Both)	Male	Female	Total	User Charges Collected
Pimpri Chinchwad	A	10	18.6627532	73.7947746	Sai garden	"Sai Garden Sambhaji Nagar, Chinchwad"	Garden	PT	Both	2	2	4	No
Pimpri Chinchwad	A	10	18.656925	73.80076	"Bird Vally, Sambhaji Nagar"	"Bird Vally, Sambhaji Nagar, Chinchwad"	Garden	PT	Both	1	3	4	No
Pimpri Chinchwad	A	10	18.6546803	73.8028643	H F D C Colony	Shahunagar	Road side	PT	Both	1	1	2	No
Pimpri Chinchwad	A	10	18.637196	73.802988	Morwadi 	Pimpri	Park	PT	Both	1	1	2	No
Pimpri Chinchwad	A	10	18.655412	73.809306	Shahu Nagar	Chinchwad	Park	PT	Male	2	0	2	No
Pimpri Chinchwad	A	10	18.657555	73.808449	Sadashiv Birwade Garden	Chinchwad	Park	PT	Male	1	1	2	No
Pimpri Chinchwad	A	10	18.65806	73.804283	Shiv Sahu Sambhaji Garden	Sambhaji Nagar 	Park	PT	Male	2	0	2	No
Pimpri Chinchwad	A	10	18.661503	73.801482	Amrela Garden	Sambhaji Nagar 	Park	PT	Both	1	1	2	No
Pimpri Chinchwad	A	10	18.649646	73.809301	KSB Chok	Chinchwad	Road side	PT	Both	1	1	2	No
Pimpri Chinchwad	A	10	18.637196	73.802988	Bhiku Kapse Udyan	Morwadi	Park	PT	Both	2	2	4	No
Pimpri Chinchwad	A	10	18.6418047	73.7986086	Indira Nagar	Cinchwad	Slum area	CT	Both	11	11	22	No
Pimpri Chinchwad	A	10	18.6418659	73.7987924	Indira Nagar	Sai baba Chowk 	Slum area	CT	Both	32	32	64	No
Pimpri Chinchwad	A	10	18.641188	73.8005001	Indira Nagar	 	Slum area	CT	Both	8	4	12	No
Pimpri Chinchwad	A	10	18.6420786	73.7998687	Indira Nagar	Indira Nag Bul.No. 3	Slum area	CT	Both	6	4	10	No
Pimpri Chinchwad	A	10	18.6361208	73.7979482	Annasaheb Nagar	Chinchwad	Slum area	CT	Both	11	11	22	No
Pimpri Chinchwad	A	10	18.64221	73.80035	IMR Collage	Indira Nagar	Slum area	CT	Both	9	4	13	No
Pimpri Chinchwad	A	10	18.6541238	73.799927	Vidya Nagar	M I D C	Slum area	CT	Both	2	2	4	No
Pimpri Chinchwad	A	10	18.6522826	73.7957692	Vidya Nagar	Chinchwad	Slum area	CT	Both	21	5	26	No
Pimpri Chinchwad	A	10	18.6356838	73.8043958	Laltopi Nagar	Pimpri	Slum area	CT	Both	4	5	9	No
Pimpri Chinchwad	A	10	18.6488783	73.7988738	Adwani Company	M I D C	Slum area	CT	Both	7	10	17	No
Pimpri Chinchwad	A	10	18.635566	73.8047292	Laltopi Nagar	Pimpri	Slum area	CT	Both	6	4	10	No
Pimpri Chinchwad	A	10	18.6349339	73.8057733	Laltopi Nagar	Pimpri	Slum area	CT	Both	13	8	21	No
Pimpri Chinchwad	A	10	18.6361801	73.8054132	Morwadi 	Pimpri	Slum area	CT	Both	7	7	14	No
Pimpri Chinchwad	A	10	18.6323367	73.8020093	Morwadi 	Pimpri	Gaothan area 	CT	Both	5	5	10	No
Pimpri Chinchwad	A	10	18.6325102	73.8031261	Morwadi 	Pimpri	Gaothan area 	CT	Both	8	8	16	No
Pimpri Chinchwad	A	10	18.661039	73.792367	Sambhaji Nagar	"Ambedakar Nagar, Tharmax Chok"	Slum area	CT	Both	4	4	8	No
Pimpri Chinchwad	A	10	18.651225	73.797609	Dattanagr	Chinchwad	Slum area	CT	Both	12	25	37	No
Pimpri Chinchwad	A	10	18.651136	73.800161	Dattanagr	Chinchwad	Slum area	CT	Both	29	28	57	No
Pimpri Chinchwad	A	10	18.651885	73.797325	Vidya Nagar	Khadimachine	Slum area	CT	Both	12	12	24	No
Pimpri Chinchwad	A	10	18.653503	73.799761	Vidya Nagar	Kokate Mandap 	Slum area	CT	Both	11	11	22	No
Pimpri Chinchwad	A	10	18.651081	73.797742	Vidya Nagar	"Shriram Gym, chinchwad"	Slum area	CT	Both	11	17	28	No
Pimpri Chinchwad	A	10	18.650275	73.7997	Dattanagr	Bansode Nivas Chinchwad	Slum area	CT	Both	4	4	8	No
Pimpri Chinchwad	A	10	18.652605	73.797221	Vidya Nagar	Chinchwad	Slum area	CT	Both	10	6	16	No
Pimpri Chinchwad	A	10	18.652094	73.800708	Shankar Nagar	Chinchwad	Slum area	CT	Both	6	6	12	No
Pimpri Chinchwad	A	10	18.653122	73.79872	Vidya Nagar	Chinchwad	Slum area	CT	Both	13	13	26	No
