City Name,Month -Year,Monthly mean/average concentration - PM2.5,Monthly mean concentration - PM10,Monthly mean concentration - NO2,Monthly mean concentration - SO2,Monthly mean concentration - O3,No of AQM Sensors-Environmental sensors deployed
Pimpri Chichwad,Apr-19,NA,NA,NA,33,NA,NA
Pimpri Chichwad,May-19,NA,NA,NA,31,NA,NA
Pimpri Chichwad,Jun-19,NA,NA,NA,21,NA,NA
Pimpri Chichwad,Jul-19,NA,NA,NA,19,NA,NA
Pimpri Chichwad,Aug-19,NA,NA,NA,33,NA,NA
Pimpri Chichwad,Sep-19,NA,NA,NA,29,NA,NA
Pimpri Chichwad,Oct-19,NA,NA,NA,22,NA,NA
Pimpri Chichwad,Nov-19,NA,NA,NA,18,NA,NA
Pimpri Chichwad,Dec-19,NA,NA,NA,15,NA,NA
Pimpri Chichwad,Jan-20,NA,NA,NA,15,NA,NA
