City Name,Zone Name,Ward name,Number of HH,Waste quantity (Tonnes Per Day),No. of Households with waste segregation
Pimpri Chinchwad,F,1,19777,36,15821
Pimpri Chinchwad,C,2,14424,23,11539
Pimpri Chinchwad,E,3,13501,25,10800
Pimpri Chinchwad,E,4,15401,28,12320
Pimpri Chinchwad,E,5,13501,25,10800
Pimpri Chinchwad,C,6,13280,22,10624
Pimpri Chinchwad,E,7,14267,26,11413
Pimpri Chinchwad,C,8,12541,20,10032
Pimpri Chinchwad,C,9,14848,24,11878
Pimpri Chinchwad,A,10,17924,33,14339
Pimpri Chinchwad,F,11,26900,49,21520
Pimpri Chinchwad,F,12,22995,42,18396
Pimpri Chinchwad,F,13,17221,31,13776
Pimpri Chinchwad,A,14,16106,29,12884
Pimpri Chinchwad,A,15,17500,32,14000
Pimpri Chinchwad,B,16,29128,41,23302
Pimpri Chinchwad,B,17,17250,24,13800
Pimpri Chinchwad,B,18,15750,22,12600
Pimpri Chinchwad,A,19,22000,40,17600
Pimpri Chinchwad,H,20,19435,31,15548
Pimpri Chinchwad,G,21,18059,33,14447
Pimpri Chinchwad,B,22,28214,40,22571
Pimpri Chinchwad,G,23,15999,30,12799
Pimpri Chinchwad,G,24,15849,30,12679
Pimpri Chinchwad,D,25,17718,32,14174
Pimpri Chinchwad,D,26,17674,32,14139
Pimpri Chinchwad,G,27,15974,30,12779
Pimpri Chinchwad,D,28,18284,33,14627
Pimpri Chinchwad,D,29,17427,32,13941
Pimpri Chinchwad,H,30,20465,33,16372
Pimpri Chinchwad,H,31,19085,31,15268
Pimpri Chinchwad,H,32,16792,27,13433
