City Name,Zone Name,Ward name,Ward No,Bins-Street sweeping waste (TPD),Bins-Size of street bins (in litres),Bins-No of street bins,"Community bins/ compactor bins/ Dhalaos etc-Major commercial market, sabzi mandi details",Community bins/ compactor bins/ Dhalaos etc-Commercial Waste quantity (TPD),Community bins/ compactor bins/ Dhalaos etc-Type of community bins/ compactor bins provided,Community bins/ compactor bins/ Dhalaos etc-Size of bins/ containers (L),Community bins/ compactor bins/ Dhalaos etc-Year of purchase
Pimpri Chinchwad,F,1,1,1 MT in each ward (approx),Twin bin 40 Ltr. Each,31,1,34 MT (approx),"1 Cub  Mtr.-  91 Nos  ,1.1 Cub Mtr. - 27 Nos , 4.5 Cub Mtr. - 430 Nos","1 Cub  Mtr =  1000 Ltr. 1.1 Cub Mtr.= 1100 Ltr. , 4.5 Cub Mtr. =  4500 Ltr. ",4.5 Cub Mtr.  2017
Pimpri Chinchwad,C,2,2,1 MT in each ward (approx),Twin bin 40 Ltr. Each,57,0,34 MT (approx),"1 Cub  Mtr.-  91 Nos  ,1.1 Cub Mtr. - 27 Nos , 4.5 Cub Mtr. - 430 Nos","1 Cub  Mtr =  1000 Ltr. 1.1 Cub Mtr.= 1100 Ltr. , 4.5 Cub Mtr. =  4500 Ltr. ",4.5 Cub Mtr.  2017
Pimpri Chinchwad,E,3,3,1 MT in each ward (approx),Twin bin 40 Ltr. Each,25,1,34 MT (approx),"1 Cub  Mtr.-  91 Nos  ,1.1 Cub Mtr. - 27 Nos , 4.5 Cub Mtr. - 430 Nos","1 Cub  Mtr =  1000 Ltr. 1.1 Cub Mtr.= 1100 Ltr. , 4.5 Cub Mtr. =  4500 Ltr. ",4.5 Cub Mtr.  2017
Pimpri Chinchwad,E,4,4,1 MT in each ward (approx),Twin bin 40 Ltr. Each,75,0,34 MT (approx),"1 Cub  Mtr.-  91 Nos  ,1.1 Cub Mtr. - 27 Nos , 4.5 Cub Mtr. - 430 Nos","1 Cub  Mtr =  1000 Ltr. 1.1 Cub Mtr.= 1100 Ltr. , 4.5 Cub Mtr. =  4500 Ltr. ",4.5 Cub Mtr.  2017
Pimpri Chinchwad,E,5,5,1 MT in each ward (approx),Twin bin 40 Ltr. Each,19,1,34 MT (approx),"1 Cub  Mtr.-  91 Nos  ,1.1 Cub Mtr. - 27 Nos , 4.5 Cub Mtr. - 430 Nos","1 Cub  Mtr =  1000 Ltr. 1.1 Cub Mtr.= 1100 Ltr. , 4.5 Cub Mtr. =  4500 Ltr. ",4.5 Cub Mtr.  2017
Pimpri Chinchwad,C,6,6,1 MT in each ward (approx),Twin bin 40 Ltr. Each,11,0,34 MT (approx),"1 Cub  Mtr.-  91 Nos  ,1.1 Cub Mtr. - 27 Nos , 4.5 Cub Mtr. - 430 Nos","1 Cub  Mtr =  1000 Ltr. 1.1 Cub Mtr.= 1100 Ltr. , 4.5 Cub Mtr. =  4500 Ltr. ",4.5 Cub Mtr.  2017
Pimpri Chinchwad,E,7,7,1 MT in each ward (approx),Twin bin 40 Ltr. Each,9,1,34 MT (approx),"1 Cub  Mtr.-  91 Nos  ,1.1 Cub Mtr. - 27 Nos , 4.5 Cub Mtr. - 430 Nos","1 Cub  Mtr =  1000 Ltr. 1.1 Cub Mtr.= 1100 Ltr. , 4.5 Cub Mtr. =  4500 Ltr. ",4.5 Cub Mtr.  2017
Pimpri Chinchwad,C,8,8,1 MT in each ward (approx),Twin bin 40 Ltr. Each,99,0,34 MT (approx),"1 Cub  Mtr.-  91 Nos  ,1.1 Cub Mtr. - 27 Nos , 4.5 Cub Mtr. - 430 Nos","1 Cub  Mtr =  1000 Ltr. 1.1 Cub Mtr.= 1100 Ltr. , 4.5 Cub Mtr. =  4500 Ltr. ",4.5 Cub Mtr.  2017
Pimpri Chinchwad,C,9,9,1 MT in each ward (approx),Twin bin 40 Ltr. Each,21,0,34 MT (approx),"1 Cub  Mtr.-  91 Nos  ,1.1 Cub Mtr. - 27 Nos , 4.5 Cub Mtr. - 430 Nos","1 Cub  Mtr =  1000 Ltr. 1.1 Cub Mtr.= 1100 Ltr. , 4.5 Cub Mtr. =  4500 Ltr. ",4.5 Cub Mtr.  2017
Pimpri Chinchwad,A,10,10,1 MT in each ward (approx),Twin bin 40 Ltr. Each,43,0,34 MT (approx),"1 Cub  Mtr.-  91 Nos  ,1.1 Cub Mtr. - 27 Nos , 4.5 Cub Mtr. - 430 Nos","1 Cub  Mtr =  1000 Ltr. 1.1 Cub Mtr.= 1100 Ltr. , 4.5 Cub Mtr. =  4500 Ltr. ",4.5 Cub Mtr.  2017
