CityName,Ward Number,Ward Name,Number of free public toilets_Female,Number of free public toilets_Male,Number of free toilets connected to city sewer network,Number of free toilets having onsite disposal systems,Number of paid public toilets_Female,Number of paid public toilets_Male,Number of paid toilets having onsite disposal systems
Pimpri Chinchwad,1,,1,1,1,1,,,
Pimpri Chinchwad,2,,13,13,13,13,,,
Pimpri Chinchwad,3,,9,9,9,9,3,3,3
Pimpri Chinchwad,4,,6,6,6,6,,,
Pimpri Chinchwad,5,,1,1,1,1,1,1,1
Pimpri Chinchwad,6,,5,4,5,5,,,
Pimpri Chinchwad,7,,11,10,12,12,1,1,1
Pimpri Chinchwad,8,,16,20,24,24,,,
Pimpri Chinchwad,9,,21,21,22,22,,,
Pimpri Chinchwad,10,,37,39,40,40,,,
Pimpri Chinchwad,11,,16,16,16,16,,,
Pimpri Chinchwad,12,,3,3,3,3,,,
Pimpri Chinchwad,13,,9,9,9,9,2,2,2
Pimpri Chinchwad,14,,37,39,39,39,1,1,1
Pimpri Chinchwad,15,,20,24,24,24,2,2,2
Pimpri Chinchwad,16,,8,8,8,8,,,
Pimpri Chinchwad,17,,9,9,9,9,,,
Pimpri Chinchwad,18,,9,9,9,9,3,3,3
Pimpri Chinchwad,19,,37,38,46,46,3,3,3
Pimpri Chinchwad,20,,36,40,43,43,,,
Pimpri Chinchwad,21,,13,13,13,13,2,2,2
Pimpri Chinchwad,22,,3,3,3,3,,,
Pimpri Chinchwad,23,,5,5,5,5,,,
Pimpri Chinchwad,24,,10,10,10,10,1,1,1
Pimpri Chinchwad,25,,8,9,9,9,,,
Pimpri Chinchwad,26,,8,9,9,9,,,
Pimpri Chinchwad,27,,5,5,5,5,,,
Pimpri Chinchwad,28,,4,6,7,7,,,
Pimpri Chinchwad,29,,3,4,4,4,,,
Pimpri Chinchwad,30,,24,29,33,33,,,
Pimpri Chinchwad,31,,3,3,3,3,,,
Pimpri Chinchwad,32,,8,9,11,11,,,
